,age,nominal esl (m),sealevel,2 sigma error esl
312,32.49,-71.18,-76.8,2.81
313,32.803,-72.93,-75.6,2.88
314,32.977,-73.9,-74.94,2.96
315,33.15,-73.98,-74.27,3.1
316,33.324,-73.92,-73.61,3.24
317,33.498,-73.86,-72.95,3.46
318,33.671,-73.79,-72.31,3.68
319,33.845,-73.73,-71.68,3.89
320,34.019,-73.68,-71.07,4.18
321,34.192,-73.61,-70.46,4.4
322,34.366,-73.56,-69.85,4.69
323,34.54,-73.5,-69.24,5.12
324,34.713,-73.44,-68.63,5.41
325,34.783,-73.41,-68.39,5.55
