Hole ID,Depth (mbsf),*Corrected Depth Below Sea Level (DS),Interpolated ages from graphs // coral samples (ka BP),K (Bq/kg),U (Bq/kg),Th (Bq/kg),TGR TP cps
M0031A,23.97,114.87,17.85,19.7998,0.0476066,-0.208462,3.12414
M0031A,24.07,114.97,17.87,5.71961,0.110136,-0.00314174,4.21417
M0031A,24.17,115.07,17.90,-0.372455,1.61867,-0.00468565,3.84166
M0031A,24.27,115.17,17.92,-1.70687,1.57016,0.119485,4.74637
M0031A,24.37,115.27,17.95,2.45903,1.82943,-0.0495024,5.28664
M0031A,24.47,115.37,17.97,13.7142,0.537063,0.13819,3.66065
M0031A,24.57,115.47,17.99,6.26265,0.0549074,1.19499,3.83965
M0031A,24.67,115.57,18.02,-2.00843,1.4252,-0.0501365,2.73113
M0031A,24.77,115.67,18.04,10.2574,0.0145263,0.35839,2.74164
M0031A,24.87,115.77,18.07,-1.77691,1.09669,0.560059,3.42364
M0031A,24.97,115.87,18.09,6.65746,-0.0986454,0.927955,4.13941
M0031A,25.07,115.97,18.12,0.611366,0.707981,0.326032,2.90562
M0031A,25.17,116.07,18.14,12.4618,0.373061,-0.00577487,2.87119
M0031A,25.27,116.17,18.17,1.46302,1.22035,-0.0373187,3.64978
M0031A,25.37,116.27,18.19,7.76392,1.18254,0.00759489,3.2558
M0031A,25.47,116.37,18.22,8.57916,-0.0500639,0.855418,4.16308
M0031A,25.57,116.47,18.24,23.7369,0.357066,0.00733086,4.4924
M0031A,25.67,116.57,18.27,11.4127,-0.527862,1.17214,3.94992
M0031A,25.77,116.67,18.29,-1.84961,0.230751,1.17479,3.61193
M0031A,25.87,116.77,18.31,-2.80921,2.55622,-0.158014,5.11595
M0031A,25.97,116.87,18.34,-3.72331,1.68739,1.0106,5.62767
M0031A,26.07,116.97,18.36,-2.46739,2.32406,-0.130198,4.37515
M0031A,26.17,117.07,18.39,-2.38374,1.18174,0.572001,4.1252
M0031A,26.27,117.17,18.41,14.1248,0.25239,-0.0191393,3.43134
M0031A,26.37,117.27,18.44,1.59092,-0.362063,1.13602,2.70334
M0031A,26.47,117.37,18.46,13.0858,-0.229384,0.842876,5.58691
M0031A,26.57,117.47,18.49,-2.72611,1.8792,-0.113156,4.87779
M0031A,26.67,117.57,18.51,14.7953,1.12592,-0.050248,5.08571
M0031A,26.77,117.67,18.54,7.32525,0.710687,-0.00731412,3.04906
M0031A,26.87,117.77,18.56,2.54534,-0.826238,2.85911,6.58645
M0031A,26.97,117.87,18.59,15.9264,1.07165,0.455208,5.72664
M0031A,27.07,117.97,18.61,-2.8649,2.41022,-0.264903,4.30826
M0031A,27.17,118.07,18.63,7.89896,0.480897,1.69094,6.24213
M0031A,27.27,118.17,18.66,-1.64587,-0.435697,2.17933,4.86686
M0031A,27.37,118.27,18.68,13.8776,0.637262,0.763365,6.46906
M0031A,27.47,118.37,18.71,7.81031,0.290079,1.61068,6.92126
M0031A,27.57,118.47,18.73,2.88228,3.48358,0.309458,8.14969
M0031A,27.67,118.57,18.76,-2.59019,4.08601,-0.443704,6.66135
M0031A,27.77,118.67,18.78,5.59333,3.02666,-0.141299,7.32847
M0031A,27.87,118.77,18.81,8.13577,1.42571,-0.169897,5.57153
M0031A,27.97,118.87,18.83,7.53912,2.37477,-0.0463544,6.26351
M0031A,28.07,118.97,18.86,11.3462,2.46002,-0.591394,5.68187
M0031A,28.17,119.07,18.88,20.4352,-0.394194,1.07123,6.33292
M0031A,28.27,119.17,18.91,7.83627,0.790631,0.795391,6.45573
M0031A,28.37,119.27,18.93,22.1875,-0.0886483,1.61453,7.54853
M0031A,28.47,119.37,18.96,-16.5969,3.14765,-0.258028,7.55763
M0031A,28.57,119.47,18.98,7.83989,2.37372,-0.0089378,6.93893
M0031A,28.67,119.57,19.00,16.658,-0.681031,1.97929,6.37478
M0031A,28.77,119.67,19.03,-4.35346,3.83064,0.126249,8.93254
M0031A,28.87,119.77,19.05,-4.04448,3.4452,-0.0326185,8.39805
M0031A,28.97,119.87,19.08,8.51197,2.25019,-0.0556334,7.74691
M0031A,29.07,119.97,19.10,8.19275,3.72805,-0.543189,8.05998
M0031A,29.17,120.07,19.13,3.42706,3.27444,0.0635425,8.65966
M0031A,29.27,120.17,19.15,3.47145,1.92785,0.821797,7.16197
M0031A,29.37,120.27,19.18,23.391,1.70904,-0.0372522,8.54929
M0031A,29.47,120.37,19.20,-3.66461,2.69368,0.35643,6.66903
M0031A,29.57,120.47,19.23,-25.047,1.6139,1.94463,6.29911
M0031A,29.67,120.57,19.25,15.0094,2.6134,0.0172475,7.70308
M0031A,29.77,120.67,19.28,1.22427,1.64557,0.872284,7.37514
M0031A,29.87,120.77,19.30,6.92042,2.90949,-0.0718955,6.99371
M0031A,29.97,120.87,19.32,4.94035,3.24067,0.722199,8.92189
M0031A,30.07,120.97,19.35,5.00078,0.591162,1.16012,5.75768
M0031A,30.17,121.07,19.37,-5.20626,3.50826,-0.0618792,6.32015
M0031A,30.27,121.17,19.40,3.16555,-0.651822,1.32569,3.37935
M0031A,30.37,121.27,19.42,0.974629,2.71703,-0.0111951,7.1485
M0031A,30.47,121.37,19.45,7.13022,-0.907703,2.47996,7.16566
M0031A,30.57,121.47,19.47,-3.40137,2.99299,0.919679,7.73358
M0031A,30.67,121.57,19.50,5.35809,3.02755,-0.0985118,8.57937
M0031A,30.77,121.67,19.52,-1.7874,1.57998,1.87303,9.18311
M0031A,30.87,121.77,19.55,-21.4756,5.77625,2.85355,7.12656
M0031A,30.97,121.87,19.57,-6.36782,3.26735,1.85971,9.6753
M0031A,31.07,121.97,19.60,-4.25313,2.6326,1.0464,7.48544
M0031A,31.17,122.07,19.62,-1.60504,0.990862,2.04568,8.23529
M0031A,31.27,122.17,19.64,-0.077552,3.61567,0.205402,8.72182
M0031A,31.37,122.27,19.67,20.7719,-0.945351,2.78301,9.06899
M0031A,31.47,122.37,19.69,-3.50249,3.47562,-0.651754,6.53083
M0031A,31.57,122.47,19.72,3.19414,2.09934,0.363423,7.54691
M0031A,31.67,122.57,19.74,12.7609,-0.550274,3.31197,9.33809
M0031A,31.77,122.67,19.77,6.27599,1.39741,1.61679,8.66137
M0031A,31.87,122.77,19.79,2.81977,2.70251,0.564752,9.05168
M0031A,31.97,122.87,19.82,3.88008,1.25787,1.17972,6.87958
M0031A,32.07,122.97,19.84,-0.382414,3.93172,0.493319,10.9205
M0031A,32.17,123.07,19.87,4.22971,2.4048,0.750243,8.35193
M0031A,32.27,123.17,19.89,2.27171,0.640192,2.17603,7.7677
M0031A,32.37,123.27,19.92,8.99434,2.6108,0.0751691,7.7078
M0031A,32.47,123.37,19.94,12.2657,3.4289,-0.0809456,9.77224
M0031A,32.57,123.47,19.96,9.04474,4.09633,0.0358325,11.4295
M0031A,32.67,123.57,19.99,5.03428,3.40046,-0.522534,7.24569
M0031A,32.77,123.67,20.01,7.90726,0.0560653,2.48283,8.71067
M0031A,32.87,123.77,20.04,34.1276,-0.682416,1.73504,9.45481
M0031A,32.97,123.87,20.06,11.0406,3.76849,-0.462999,9.45165
M0031A,33.07,123.97,20.09,0.864278,3.91696,-0.0496217,8.31276
M0031A,33.17,124.07,20.11,32.9631,0.578478,1.47656,10.597
M0031A,33.27,124.17,20.14,8.01657,2.43999,1.07461,10.7031
M0031A,33.37,124.27,20.16,-12.8321,5.38298,0.00820025,8.72557
M0031A,33.47,124.37,20.19,1.77895,1.52615,2.07742,8.99081
M0031A,33.57,124.47,20.21,20.4202,2.22667,0.761073,11.397
M0031A,33.67,124.57,20.24,-2.52312,6.49318,-2.39737,9.21953
M0031A,33.77,124.67,20.26,0.00189846,4.05143,-0.141745,8.44579
M0031A,33.87,124.77,20.28,22.727,2.50378,0.251852,10.1569
M0031A,33.97,124.87,20.31,15.4107,4.38806,-0.18357,12.1361
M0031A,34.07,124.97,20.33,17.2096,2.48412,-0.0674276,8.62562
M0031A,34.17,125.07,20.36,1.08047,1.78105,1.818,10.4072
M0031A,34.27,125.17,20.38,-3.61278,2.86518,1.64247,10.7892
M0031A,34.37,125.27,20.41,3.23893,2.7525,1.2021,10.1301
M0031A,34.47,125.37,20.43,-3.26561,0.159879,3.03525,10.0509
M0031A,34.57,125.47,20.46,4.6152,4.10482,0.158686,11.8579
M0031A,34.67,125.57,20.48,4.35379,2.77892,0.176553,9.4285
M0031A,34.77,125.67,20.51,34.5367,3.0961,0.00446142,9.94829
M0031A,34.87,125.77,20.53,9.71913,2.57521,-0.0361693,9.56501
M0031A,34.97,125.87,20.56,51.0992,4.77955,-3.59895,10.4403
M0031A,35.07,125.97,20.58,-7.62308,5.63585,0.441707,10.4063
M0031A,35.17,126.07,20.61,13.2304,1.61288,-0.00167905,7.27866
M0031A,35.27,126.17,20.63,-4.97788,6.13977,-0.848036,9.80571
M0031A,35.37,126.27,20.65,-0.587802,4.47649,0.0776255,10.2051
M0031A,35.47,126.37,20.68,-2.83125,1.07557,1.44119,6.67055
M0031A,35.57,126.47,20.70,31.3473,-0.904491,2.74699,11.2144
M0031A,35.67,126.57,20.73,14.7168,1.97815,0.0032376,7.03476
